ID;Vorname;Nachname;Bundesministeramt;Geschlecht;Von;Bis;Geboren;Alter bei Antritt des Amts;Partei;Höchster Abschluss nach DQR;DQR Niveau;Link
#104;Wolfgang;Tiefensee;Verkehr, Bau und Stadtentwicklung;M;2005;2009;1955;50;SPD;Diplom-Ingenieur;7;https://de.wikipedia.org/wiki/Wolfgang_Tiefensee#:~:text=Wolfgang%20Erwin%20Bernhard%20Tiefensee%20(*,Er%20ist%20seit%204.&text=Von%202012%20bis%202014%20war,Vereinigung%20Gegen%20Vergessen%20%E2%80%93%20F%C3%BCr%20Demokratie.
#105;Jürgen;Trittin;Umwelt, Naturschutz und Reaktorsicherheit;M;1998;2005;1954;44;Bündnis 90/Die Grünen;Diplom-Sozialwirt;7;https://de.wikipedia.org/wiki/J%C3%BCrgen_Trittin
#106;Heidemarie;Wieczorek-Zeul;Wirtschaftliche Zusammenarbeit und Entwicklung;W;1998;2009;1942;56;SPD;Studium Lehramt;7;https://de.wikipedia.org/wiki/Heidemarie_Wieczorek-Zeul#:~:text=Seit%201965%20ist%20Wieczorek%2DZeul,erste%20Frau%20in%20dieser%20Position.&text=Seit%201984%20ist%20sie%20Mitglied,SPD%2DBezirksverbandes%20Hessen%2DS%C3%BCd.
#107;Matthias;Wissmann;Verkehr;M;1993;1998;1949;44;CDU;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Matthias_Wissmann#:~:text=Matthias%20Wissmann%20(*%2015.,d'Automobiles%20(OICA).&text=Seit%20Oktober%202018%20ist%20er,deutsch%2Dfranz%C3%B6sischen%20Privatbank%20Oddo%20BHF.
#108;Brigitte;Zypries;Wirtschaft und Energie;W;2017;2018;1953;64;SPD;2tes Staatsexam Rechtswissenschaften;7;https://de.wikipedia.org/wiki/Brigitte_Zypries#:~:text=Brigitte%20Zypries%20(*%2016.,Energie%20im%20Kabinett%20Merkel%20III.
#109;Hans ;Apel;Verteidigung;M;1978;1982;1932;46;SPD;Dr. rer. pol.;8;https://de.wikipedia.org/wiki/Hans_Apel#:~:text=Apel%20war%20von%201965%20bis,stellvertretender%20Vorsitzender%20der%20SPD%2DBundestagsfraktion.&text=seit%201980%20des%20Wahlkreises%20Hamburg%2DNord%20in%20den%20Bundestag%20ein.
#110;Martin;Bangemann;Wirtschaft;M;1984;1988;1934;50;FDP;Dr. jur.;8;https://de.wikipedia.org/wiki/Martin_Bangemann
#111;Katarina;Barley;Justiz und Verbraucherschutz;W;2018;2019;1968;50;SPD;Dr. jur.;8;https://de.wikipedia.org/wiki/Katarina_Barley
#112;Rainer;Barzel;Innderdeutsche Beziehungen;M;1982;1983;1924;58;CDU;Dr. jur.;8;https://de.wikipedia.org/wiki/Rainer_Barzel
#113;Christine;Bergmann;Familie, Senioren, Frauen und Jugend;W;1998;2002;1939;59;SPD;Dr. rer. nat.;8;https://de.wikipedia.org/wiki/Christine_Bergmann
#114;Sabine;Bergmann-Pohl;Besondere Aufgaben;W;1990;1991;1946;44;CDU;Dr. med.;8;https://de.wikipedia.org/wiki/Sabine_Bergmann-Pohl
#115;Norbert;Blüm;Arbeit und Sozialordnung;M;1982;1998;1935;47;CDU;Dr. phil.;8;https://de.wikipedia.org/wiki/Norbert_Bl%C3%BCm
#116;Wolfgang;Bötsch;Post und Telekommunikation;M;1993;1997;1938;55;CSU;Dr. jur. utr.;8;https://de.wikipedia.org/wiki/Wolfgang_B%C3%B6tsch
#117;Helge;Braun;Besondere Aufgaben;M;2018;2020;1972;46;CDU;Dr. med.;8;https://de.wikipedia.org/wiki/Helge_Braun
#118;Ewald;Bucher;Wohnungswesen und Städtebau;M;1965;1966;1914;51;FDP;Dr. jur.;8;https://de.wikipedia.org/wiki/Ewald_Bucher
#119;Rolf;Dahlgrün;Finanzen;M;1962;1966;1908;54;FDP;Dr. jur.;8;https://de.wikipedia.org/wiki/Rolf_Dahlgr%C3%BCn#:~:text=Er%20war%20zun%C3%A4chst%20als%20hauptamtlicher,wilderei%20nach%20%C2%A7%20292%20RStGB.
#120;Thomas;de Maiziere;Inneres;M;2013;2018;1954;59;CDU;Dr. jur.;8;https://de.wikipedia.org/wiki/Thomas_de_Maizi%C3%A8re
#121;Werner;Dollinger;Verkehr;M;1982;1987;1918;64;CSU;Dr. rer. pol.;8;https://de.wikipedia.org/wiki/Werner_Dollinger#:~:text=Januar%202008%20ebenda)%20war%20ein,bis%201987%20Bundesminister%20f%C3%BCr%20Verkehr.
#122;Horst;Ehmke;Besondere Aufgaben;M;1969;1972;1927;42;SPD;Dr. jur.;8;https://de.wikipedia.org/wiki/Horst_Ehmke#:~:text=Horst%20Ehmke%20stammte%20aus%20der,und%20geriet%20in%20sowjetische%20Kriegsgefangenschaft.
#123;Herbert;Ehrenberg;Arbeit und Sozialordnung;M;1976;1982;1926;50;SPD;Dr. rer. pol.;8;https://de.wikipedia.org/wiki/Herbert_Ehrenberg#:~:text=Herbert%20Ehrenberg%20(*%2021.,Bundesminister%20f%C3%BCr%20Arbeit%20und%20Sozialordnung.
#124;Erhard;Eppler;Wirtschaftliche Zusammenarbeit;M;1968;1974;1926;42;SPD;Dr. phil. ;8;https://de.wikipedia.org/wiki/Erhard_Eppler#:~:text=Erhard%20Eppler%20(*%209.,1974%20Bundesminister%20f%C3%BCr%20wirtschaftliche%20Zusammenarbeit.
#125;Ludwig;Erhard;Bundeskanzler;M;1963;1966;1897;66;CDU;Dr. rer. pol.;8;https://de.wikipedia.org/wiki/Ludwig_Erhard
#126;Katharina;Focke;Jugend, Familie und Gesundheit;W;1972;1976;1922;50;SPD;Dr. phil.;8;https://de.wikipedia.org/wiki/Katharina_Focke
#127;Hans-Peter;Friedrich;Ernährung und Landwirtschaft;M;2013;2014;1957;56;CSU;Dr. jur.;8;https://de.wikipedia.org/wiki/Hans-Peter_Friedrich
#128;Hans;Friedrichs;Wirtschaft;M;1972;1977;1931;41;FDP;Dr. rer. pol.;8;https://de.wikipedia.org/wiki/Hans_Friderichs
#129;Heiner;Geißler;Jugend, Familie und Gesundheit;M;1982;1985;1930;52;CDU;Dr. jur.;8;https://de.wikipedia.org/wiki/Heiner_Gei%C3%9Fler#:~:text=Heiner%20Gei%C3%9Fler%20(eigentlich%20Heinrichjosef%20Georg,ein%20deutscher%20Politiker%20(CDU).&text=Besonders%20w%C3%A4hrend%20der%20Zeit%20als,%C3%84u%C3%9Ferungen%20%C3%BCber%20politische%20Gegner%20auf.
#130;Johann Baptist ;Gradl;Vetriebene, Flüchtlinge und Kriegsgeschädigte;M;1965;1966;1904;61;CDU;Dr. rer. Pol.;8;https://de.wikipedia.org/wiki/Johann_Baptist_Gradl
#131;Otto;Graf Lambsdorff;Wirtschaft;M;1977;1984;1926;51;FDP;Dr. jur.;8;https://de.wikipedia.org/wiki/Otto_Graf_Lambsdorff
#132;Dieter;Haack;Bau- und Wohnungswesen;M;1978;1982;1934;44;SPD;Dr. jur.;8;https://de.wikipedia.org/wiki/Dieter_Haack#:~:text=Seit%201961%20ist%20Haack%20Mitglied,Mitglied%20des%20Gemeinderates%20von%20Stieldorf.
#133;Volker;Hauff;Verkehr;M;1980;1982;1940;40;SPD;Dr.rer.pol.;8;https://de.wikipedia.org/wiki/Volker_Hauff
#134;Helmut;Haussmann;Wirtschaft;M;1988;1991;1943;45;FDP;Dr. rer. pol.;8;https://de.wikipedia.org/wiki/Helmut_Haussmann#:~:text=9%20Einzelnachweise-,Leben%20und%20Beruf,KG%20in%20Bad%20Urach%20t%C3%A4tig.
#135;Bruno;Heck;Familie und Jugend;M;1963;1968;1917;46;CDU;Dr. phil.;8;https://de.wikipedia.org/wiki/Johann_Baptist_Gradl
#136;Gustav;Heinemann;Justiz;M;1966;1969;1899;67;SPD;Dr. rer. pol. / Dr. jur.;8;https://de.wikipedia.org/wiki/Gustav_Heinemann
#137;Barbara ;Hendricks;Umwelt, Naturschutz, Bau und Reaktorsicherheit;W;2013;2018;1952;61;SPD;Dr. phil.;8;https://de.wikipedia.org/wiki/Barbara_Hendricks_(Politikerin)
#138;Richard;Jaeger;Justiz;M;1965;1966;1913;52;CSU;Dr. jur.;8;https://de.wikipedia.org/wiki/Richard_Jaeger#:~:text=Richard%20Jaeger%20(*%2016.%20Februar,bis%201966%20Bundesminister%20der%20Justiz.
#139;Franz Josef;Jung;Verteidigung;M;2005;2009;1949;56;CDU;Dr. jur.;8;https://de.wikipedia.org/wiki/Franz_Josef_Jung
#140;Klaus;Kinkel;Auswärtiges;M;1992;1998;1936;56;FDP;Dr. jur.;8;https://de.wikipedia.org/wiki/Klaus_Kinkel
#141;Helmut;Kohl;Bundeskanzler;M;1982;1998;1930;52;CDU;Dr. phil.;8;https://de.wikipedia.org/wiki/Helmut_Kohl
#142;Günther ;Krause;Verkehr;M;1991;1993;1953;38;CDU;Dr.-Ing.;8;https://de.wikipedia.org/wiki/G%C3%BCnther_Krause#:~:text=Krause%20trat%201975%20der%20DDR,CDU%20in%20Mecklenburg%2DVorpommern%20gew%C3%A4hlt.&text=Am%203.%20Oktober%201990%20wurde%20er%20Mitglied%20des%20Deutschen%20Bundestages.
#143;Heinrich;Krone;Angelegenheiten des Bundesverteidigungsrates;M;1965;1966;1895;70;CDU;Dr. phil.;8;https://de.wikipedia.org/wiki/Heinrich_Krone
#144;Paul;Krüger;Forschung und Technologie;M;1993;1994;1950;43;CDU;Dr.-Ing;8;https://de.wikipedia.org/wiki/Paul_Kr%C3%BCger_(Politiker,_1950)
#145;Karl-Hans;Laermann;Bildung und Wissenschaft;M;1994;1994;1929;65;FDP;Dr.-Ing.;8;https://de.wikipedia.org/wiki/Karl-Hans_Laermann#:~:text=Nach%20dem%20Abitur%201950%20absolvierte,erfolgte%20seine%20Promotion%20zum%20Dr.&text=1971%20erfolgte%20seine%20Ernennung%20zum%20Wissenschaftlichen%20Rat%20und%20Professor%20in%20Aachen.
#146;Lauritz;Lauritzen;Verkehr;M;1972;1974;1910;62;SPD;Dr. jur.;8;https://de.wikipedia.org/wiki/Lauritz_Lauritzen#:~:text=Lauritz%20Lauritzen%20%E2%80%93%20Sohn%20von%20Fritz,%2DAlbrechts%2DUniversit%C3%A4t%20zu%20Kiel.
#147;Ursula;Lehr;Jugend, Familie und Gesundheit;W;1988;1991;1930;58;CDU;Dr. phil.;8;https://de.wikipedia.org/wiki/Ursula_Lehr#:~:text=Ursula%20Maria%20Lehr%2C%20geborene%20Leipold,%2C%20Familie%2C%20Frauen%20und%20Gesundheit.
#148;Hans;Leussink;Bildung und Wissenschaft;M;1969;1972;1912;57;Parteilos;Dr.-Ing.;8;https://de.wikipedia.org/wiki/Hans_Leussink#:~:text=Hans%20Leussink%20(*%202.%20Februar,Bundesminister%20f%C3%BCr%20Bildung%20und%20Wissenschaft.
#149;Werner;Maihofer;Inneres;M;1974;1978;1918;56;FDP;Dr. jur.;8;https://de.wikipedia.org/wiki/Werner_Maihofer#:~:text=Werner%20Maihofer%20wurde%20als%20Sohn,er%20dem%20olympischen%20Kader%20an.
#150;Erich;Mende;Gesamtdeutsche Fragen;M;1963;1966;1916;47;FDP;Dr. jur.;8;https://de.wikipedia.org/wiki/Erich_Mende
#151;Angela ;Merkel;Umwelt, Naturschutz und Reaktorsicherheit;W;1994;1998;1954;40;CDU;Dr.;8;https://de.wikipedia.org/wiki/Angela_Merkel
#152;Gerd;Müller;Wirtschaftliche Zusammenarbeit und Entwicklung;M;2013;2020;1955;58;CSU;Dr.;8;https://de.wikipedia.org/wiki/Gerd_M%C3%BCller_(Politiker,_1955)
#153;Werner;Müller;Wirtschaft;M;1998;2002;1946;52;Parteilos;Dr. phil.;8;https://de.wikipedia.org/wiki/Werner_M%C3%BCller_(Politiker,_1946)#:~:text=Wilhelm%20Werner%20M%C3%BCller%20(*%201,Manager%2C%20Hochschuldozent%20und%20parteiloser%20Politiker.&text=In%20den%20folgenden%20Jahren%20wurde,Vorstandsvorsitzender%20der%20Ruhrkohle%20AG%20bzw.
#154;Rainer;Ortleb;Bildung und Wissenschaft;M;1991;1994;1944;47;FDP;Dr. rer. Nat, Dr.-Ing.;8;https://de.wikipedia.org/wiki/Rainer_Ortleb#:~:text=Rainer%20Ortleb%20(*%205.,Bundesminister%20f%C3%BCr%20Bildung%20und%20Wissenschaft.
#155;Peter;Ramsauer;Verkehr, Bau und Stadtentwicklung;M;2009;2013;1954;55;CSU;Dr.;8;https://de.wikipedia.org/wiki/Peter_Ramsauer#:~:text=Peter%20Ramsauer%20(*%2010.%20Februar,1990%20dem%20Deutschen%20Bundestag%20an.&text=2005%20bis%202009%20war%20er,der%20CDU%2FCSU%2DBundestagsfraktion.
#156;Günter;Rexrodt;Wirtschaft;M;1993;1998;1941;52;FDP;Dr. rer. pol.;8;https://de.wikipedia.org/wiki/G%C3%BCnter_Rexrodt
#157;Heinz;Riesenhuber;Forschung und Technologie;M;1982;1993;1935;47;CDU;Dr. rer. nat.;8;https://de.wikipedia.org/wiki/Heinz_Riesenhuber#:~:text=Heinz%20Friedrich%20Ruppert%20Riesenhuber%20(*,ein%20deutscher%20Politiker%20(CDU).&text=Deutschen%20Bundestag%20(2013%E2%80%932017),Bundesminister%20f%C3%BCr%20Forschung%20und%20Technologie.
#158;Philipp;Rösler;Wirtschaft und Technologie;M;2011;2013;1973;38;FDP;Dr. med.;8;https://de.wikipedia.org/wiki/Philipp_R%C3%B6sler#:~:text=Philipp%20R%C3%B6sler%20(*%2024.%20Februar,%2C%20Vizekanzler%20und%20FDP%2DBundesvorsitzender.
#159;Norbert;Röttgen;Umwelt, Naturschutz und Reaktorsicherheit;M;2009;2012;1965;44;CDU;Dr. jur.;8;https://de.wikipedia.org/wiki/Norbert_R%C3%B6ttgen#:~:text=Norbert%20Alois%20R%C3%B6ttgen%20(*%202,der%20CDU%2FCSU%2DBundestagsfraktion.
#160;Jürgen ;Rüttgers;Bildung, Wissenschaft, Forschung und Technologie;M;1994;1998;1951;43;CDU;Dr. jur.;8;https://de.wikipedia.org/wiki/J%C3%BCrgen_R%C3%BCttgers#:~:text=Seit%201970%20ist%20R%C3%BCttgers%20Mitglied,Landesvorstand%20der%20CDU%20Nordrhein%2DWestfalen.
#161;Wolfgang;Schäuble;Finanzen;M;2009;2017;1942;67;CDU;Dr. jur.;8;https://de.wikipedia.org/wiki/Wolfgang_Sch%C3%A4uble
#162;Annette;Schavan;Bildung und Forschung;W;2005;2013;1955;50;CDU;Dr. phil.;8;https://de.wikipedia.org/wiki/Annette_Schavan#:~:text=Annette%20Schavan%20(*%2010.,und%20Sport%20in%20Baden%2DW%C3%BCrttemberg.&text=Von%20Juli%202014%20bis%20Ende,deutsche%20Botschafterin%20beim%20Heiligen%20Stuhl.
#163;Andreas;Scheuer;Vekehr und digitale Infrastruktur;M;2018;2020;1974;44;CSU;Phil. Dr.;8;https://de.wikipedia.org/wiki/Andreas_Scheuer#:~:text=Scheuer%20trat%201994%20in%20die,Landesvorstand%20der%20JU%2DBayern%20an.&text=Dezember%202013%20wurde%20Scheuer%20vom,neuen%20Generalsekret%C3%A4r%20der%20CSU%20gew%C3%A4hlt.
#164;Karl;Schiller;Wirtschaft;M;1966;1971;1911;55;SPD;Dr. rer. pol.;8;https://de.wikipedia.org/wiki/Karl_Schiller#:~:text=Karl%20August%20Fritz%20Schiller%20(*,1972%20zus%C3%A4tzlich%20Bundesminister%20der%20Finanzen.
#165;Edzard;Schmidt-Jortzig;Justiz;M;1996;1998;1941;55;FDP;Dr. jur.;8;https://de.wikipedia.org/wiki/Edzard_Schmidt-Jortzig#:~:text=Von%201997%20bis%202004%20war,gescheiterten)%20Aufbau%20der%20Privaten%20Hanseuniversit%C3%A4t.
#166;Jürgen;Schmude;Justiz;M;1981;1982;1936;45;SPD;Dr. jur.;8;https://de.wikipedia.org/wiki/J%C3%BCrgen_Schmude#:~:text=J%C3%BCrgen%20Dieter%20Paul%20Schmude%20(*,und%201982%20Bundesminister%20des%20Innern.
#167;Oscar;Schneider;Raumordnung, Bauwesen und Städtebau;M;1982;1989;1927;55;CSU;Dr. jur.;8;https://de.wikipedia.org/wiki/Oscar_Schneider#:~:text=Oscar%20Schneider%20(*%203.,f%C3%BCr%20Raumordnung%2C%20Bauwesen%20und%20St%C3%A4dtebau.
#168;Rupert;Scholz;Verteidigung;M;1988;1989;1937;51;CDU;Dr. jur.;8;https://de.wikipedia.org/wiki/Rupert_Scholz#:~:text=Rupert%20Scholz%20(*%2023.,bis%201989%20Bundesminister%20der%20Verteidigung.
#169;Kristina;Schröder;Familie, Senioren, Frauen und Jugend;W;2009;2013;1977;32;CDU;Dr. phil.;8;https://de.wikipedia.org/wiki/Kristina_Schr%C3%B6der
#170;Gerhard;Schröder;Verteidigung;M;1966;1969;1910;56;CDU;Dr. jur.;8;https://de.wikipedia.org/wiki/Gerhard_Schr%C3%B6der_(Politiker,_1910)
#171;Irmgard ;Schwaetzer;Raumordnung, Bauwesen und Städtebau;W;1991;1994;1942;49;FDP;Dr. rer. nat.;8;https://de.wikipedia.org/wiki/Irmgard_Schwaetzer#:~:text=Irmgard%20Schwaetzer%20(*%205.,f%C3%BCr%20Raumordnung%2C%20Bauwesen%20und%20St%C3%A4dtebau.
#172;Elisabeth;Schwarzhaupt;Gesundheit;W;1961;1966;1901;60;CDU;Dr. jur.;8;https://de.wikipedia.org/wiki/Elisabeth_Schwarzhaupt
#173;Christian;Schwarz-Schilling;Post und Telekommunikation;M;1989;1992;1930;59;CDU;Dr. phil.;8;https://de.wikipedia.org/wiki/Christian_Schwarz-Schilling#:~:text=Christian%20Schwarz%2DSchilling%20(*%2019,Bundesminister%20f%C3%BCr%20Post%20und%20Telekommunikation.
#174;Hans-Christoph;Seebohm;Verkehr;M;1949;1966;1903;46;CDU;Dr. ing.;8;https://de.wikipedia.org/wiki/Hans-Christoph_Seebohm
#175;Frank-Walter;Steinmeier;Auswärtiges;M;2013;2017;1956;57;SPD;Dr. jur.;8;https://de.wikipedia.org/wiki/Frank-Walter_Steinmeier
#176;Gerhard;Stoltenberg;Verteidigung;M;1989;1992;1928;61;CDU;Dr. phil.;8;https://de.wikipedia.org/wiki/Gerhard_Stoltenberg#:~:text=Seit%201947%20war%20Stoltenberg%20Mitglied,der%20CDU%20in%20Schleswig%2DHolstein.&text=Seit%201969%20war%20er%20stellvertretender,geh%C3%B6rte%20dem%20CDU%2DPr%C3%A4sidium%20an.
#177;Peter;Struck;Verteidigung;M;2002;2005;1943;59;SPD;Dr. jur.;8;https://de.wikipedia.org/wiki/Peter_Struck#:~:text=Dezember%202012%20in%20Berlin)%20war,war%20er%20Bundesminister%20der%20Verteidigung.
#178;Rita;Süssmuth;Jugend, Familie, Frauen und Gesundheit;W;1986;1988;1937;49;CDU;Dr. phil.;8;https://de.wikipedia.org/wiki/Rita_S%C3%BCssmuth#:~:text=Rita%20S%C3%BCssmuth%20(geb.,1998%20Pr%C3%A4sidentin%20des%20Deutschen%20Bundestages.
#179;Klaus;Töpfer;Raumordnung, Bauwesen und Städtebau;M;1994;1998;1938;56;CDU;Dr. rer. pol.;8;https://de.wikipedia.org/wiki/Klaus_T%C3%B6pfer#:~:text=Klaus%20T%C3%B6pfer%20(*%2029.%20Juli,der%20Regierung%20von%20Helmut%20Kohl.
#180;Hans-Jochen;Vogel;Justiz;M;1974;1981;1926;48;SPD;Dr. jur.;8;https://de.wikipedia.org/wiki/Hans-Jochen_Vogel#:~:text=Hans%2DJochen%20Vogel%20(*%203,bis%201972%20Oberb%C3%BCrgermeister%20von%20M%C3%BCnchen.&text=Er%20war%20von%201972%20bis,bis%201981%20Bundesminister%20der%20Justiz.
#181;Andreas;von Bülow;Forschung und Technologie;M;1980;1982;1937;43;SPD;Dr. jur.;8;https://de.wikipedia.org/wiki/Andreas_von_B%C3%BClow#:~:text=Von%201968%20bis%201975%20war,B%C3%BClow%20Mitglied%20des%20Deutschen%20Bundestages.&text=Von%201976%20bis%201980%20war%20B%C3%BClow%20Parlamentarischer%20Staatssekret%C3%A4r%20beim%20Bundesminister,in%20Princeton%20(USA)%20teil.
#182;Ursula;von der Leyen;Verteidigung;W;2013;2019;1958;55;CDU;Dr. ;8;https://de.wikipedia.org/wiki/Ursula_von_der_Leyen
#183;Klaus;von Dohnanyi;Bildung und Wissenschaft;M;1972;1974;1928;44;SPD;Dr. jur.;8;https://de.wikipedia.org/wiki/Klaus_von_Dohnanyi#:~:text=Klaus%20Karl%20Anton%20von%20Dohnanyi,der%20Freien%20und%20Hansestadt%20Hamburg.
#184;Karl-Theodor ;von und zu Guttenberg;Verteidigung;M;2009;2011;1971;38;CSU;Dr. jur.;8;https://de.wikipedia.org/wiki/Karl-Theodor_zu_Guttenberg
#185;Theo;Waigel;Finanzen;M;1989;1998;1939;50;CSU;Dr. iuris;8;https://de.wikipedia.org/wiki/Theo_Waigel#:~:text=Theodor%20%E2%80%9ETheo%E2%80%9C%20Waigel%20(*%2022,zum%20Ehrenvorsitzenden%20der%20CSU%20gew%C3%A4hlt.
#186;Walter ;Wallmann;Umwelt, Naturschutz und Reaktorsicherheit;M;1986;1987;1932;54;CDU;Dr. jur.;8;https://de.wikipedia.org/wiki/Walter_Wallmann#:~:text=Wallmann%20war%20bei%20der%20Kommunalwahl,der%20Stadt%20Frankfurt%20am%20Main.&text=Von%201985%20bis%201986%20war,au%C3%9Ferdem%20Pr%C3%A4sident%20des%20Deutschen%20St%C3%A4dtetags.
#187;Hansjoachim;Walther;Besondere Aufgaben;M;1990;1991;1939;51;DSU;Dr. rer. nat.;8;https://de.wikipedia.org/wiki/Hansjoachim_Walther#:~:text=Hansjoachim%20Walther%20(*%2016.,er%20Bundesminister%20f%C3%BCr%20besondere%20Aufgaben.
#188;Johanna;Wanka;Bildung und Forschung;W;2013;2018;1951;62;CDU;Dr. rer. nat.;8;https://de.wikipedia.org/wiki/Johanna_Wanka
#189;Jürgen;Warnke;Wirtschaftliche Zusammenarbeit;M;1989;1991;1932;57;CSU;Dr. jur.;8;https://de.wikipedia.org/wiki/J%C3%BCrgen_Warnke
#190;Karl;Weber;Justiz;M;1965;1965;1898;67;CDU;Dr. jur.;8;https://de.wikipedia.org/wiki/Karl_Weber_(Politiker,_1898)
#191;Guido;Westerwelle;Auswärtiges;M;2009;2013;1961;48;FDP;Dr. jur.;8;https://de.wikipedia.org/wiki/Guido_Westerwelle
#192;Ludger;Westrick;Besondere Aufgaben;M;1964;1966;1894;70;CDU;Dr. jur.;8;https://de.wikipedia.org/wiki/Ludger_Westrick
#193;Dorothee;Wilms;Innderdeutsche Beziehungen;W;1987;1991;1929;58;CDU;Dr. rer. pol.;8;https://de.wikipedia.org/wiki/Dorothee_Wilms#:~:text=Dorothee%20Margarethe%20Elisabeth%20Wilms%20(*,letzte%20Bundesministerin%20f%C3%BCr%20innerdeutsche%20Beziehungen.
#194;Manfred;Wörner;Verteidigung;M;1982;1988;1934;48;CDU;Dr. jur.;8;https://de.wikipedia.org/wiki/Manfred_W%C3%B6rner#:~:text=Manfred%20Hermann%20W%C3%B6rner%20(*%2024,Reserveoffizier%20der%20Luftwaffe%20(Oberstleutnant%20d.&text=Er%20war%20von%201965%20bis,bis%201980%20Vorsitzender%20des%20Verteidigungsausschusses.
#195;Friedrich;Zimmermann;Verkehr;M;1989;1991;1925;64;CSU;Dr. jur.;8;https://de.wikipedia.org/wiki/Friedrich_Zimmermann#:~:text=Friedrich%20Walter%20Zimmermann%20(auch%20Fritz,bis%201991%20Bundesminister%20f%C3%BCr%20Verkehr.
